date,code,rank,brand,product,price,url,period_ym
20260419,A000000246058,89,올더베러,올더베러 웰니스 구미 7일분 8종 택1,3900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246058&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=89,202604
20260419,B000000241323,90,올더뮤,올더뮤 뮤신 딥글로우 자두맛 (7+2)포 X 2박스,39800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000241323&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=90,202604
20260419,A000000205750,91,푸드올로지,"[서현PICK] 콜레올로지 티 PRO 하비탈출 8,000mg X 7포/15포 (7일분/15일분)",14700,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205750&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=91,202604
20260419,B000000151464,92,드시모네,드시모네 365 포도향 30포 X 3박스 (3개월분),80000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000151464&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=92,202604
20260419,A000000251917,93,비타,비타500 데일리스틱 30포 (1개월분),11900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000251917&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=93,202604
20260419,A000000247235,94,바이오렉트라,바이오렉트라 비타민D 다이렉트 30포 (1개월분),38280,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247235&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=94,202604
20260419,A000000231580,95,고려은단,고려은단 퓨어 밀크씨슬 180정 (6개월분),24900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231580&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=95,202604
20260419,A000000225323,96,비비랩,[1+1] 비비랩 멀티비타민 슈퍼샷 1개입,3900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225323&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=96,202604
20260419,A000000245071,97,올더베러,올더베러 이뮨 멀티비타민 워터믹스 7포 (7일분),6900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245071&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=97,202604
20260419,A000000224982,98,지노마스터,지노마스터 이노시톨 30포 (1개월분),17500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224982&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=98,202604
20260419,A000000227457,99,알디콤,[1+1]알디콤 Plus 숙취해소제 21ml 4포입,17300,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227457&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=99,202604
20260419,A000000200345,100,엘레나,엘레나 UREX 프로바이오틱스 15캡슐,16900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200345&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=100,202604
