date,code,rank,brand,product,price
20260412,A000000248072,22,비비랩,[4월 올영픽/이시안 PICK] 비비랩 화이트 콜라겐 18+2/30포 (20일/30일분),13200
20260412,A000000150476,23,세노비스,세노비스 루테인+오메가3 80캡슐 (+10캡슐 증정기획) (45일분),27550
20260412,A000000247265,24,뉴오리진,[호빵맨콜라보] 이너플로라 질유산균 60캡슐+호빵맨 스티커,35900
20260412,A000000226999,25,푸드올로지,[서현PICK] 콜레올로지 PRO 600mg*60정 (1개월분),31900
20260412,A000000241581,26,바이탈뷰티,[4월 올영픽] 바이탈뷰티 메타그린 부스터샷 7개입 단품/기획(+1일분),23800
20260412,A000000244912,27,탄탄,[혼합증정기획] 탄탄 더블컷 다이어트젤리 14포+2포 기획 택1,16900
20260412,A000000205496,28,프로뉴트리션,프로뉴트리션 듀얼플랜 다이어트 유산균 14포,35800
20260412,A000000245874,29,올더베러,올더베러 웰니스 구미 30일분 6종 택1,8900
20260412,A000000170108,30,푸드올로지,[서현PICK] 콜레올로지 버닝올로지 디데이 3.8g*5포 (5일분),16500
20260412,A000000008807,31,세노비스,세노비스 마그네슘 90정 (3개월분),18200
20260412,A000000002944,32,고려은단,고려은단 비타민C1000 120정 (4개월분),15000
20260412,A000000241378,33,오니스트,[4월 올영픽] 오니스트 케라그로우 망고 14일 루틴 단품/기획(+2포),27900
20260412,A000000249166,34,아임비타,아임비타 멀티비타민 이뮨샷 포차코 콜라보 기획 12입 (+파우치 증정) (12일분),30900
20260412,A000000206861,35,덴프스,덴마크 유산균이야기 30캡슐 1+1기획(60일분) +트루바이타민 3포 증정,40000
20260412,A000000189370,36,마그랩,[단독기획] 마그랩 포 스트레스 10+2입 선물세트 / 10개입(+10개입 더블기획),23900
20260412,A000000189360,37,덴프스,[덴마크 직수입]덴프스 덴마크 유산균이야기 30캡슐(1개월분),18900
20260412,A000000249190,38,온리추얼,[NS윤지 PICK] 온리추얼 리셋 브이라인 7포 (+1포 증정) (8일분),18900
20260412,A000000225470,39,이너랩,[올영단독] 셀트리온 위고잇 30정 기획 (+5정 증정),18530
20260412,A000000224962,40,아일로,"[아이린pick]아일로 듀얼 슬림컷 60정 (1개월분 / 체지방감소, 식후 혈당 상승 억제)",25900
20260412,A000000189113,41,세노비스,세노비스 밀크씨슬+ 60캡슐 더블기획 (4개월분),35060
20260412,A000000229525,42,코자아,코자아 오리지널 드링크 100ml*6개입,28000
20260412,A000000234147,43,솔티스,솔티스 눈 프로텍션 프로S3 20캡슐 (20일분),12800
20260412,A000000187268,44,고려은단,고려은단 메가도스C 비타민C 3000mg 30포,9900
20260412,A000000204864,45,푸드올로지,[서현PICK] 콜레올로지 컷팅 젤리 30포 (1개월분),46500
20260412,A000000227457,46,알디콤,[1+1]알디콤 Plus 숙취해소제 21ml 4포입,17300
20260412,A000000223554,47,멜라메이트,식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 20구미,9900
20260412,A000000240638,48,락토핏,[올영단독] 락토핏 골드 30포 트리플 기획 (+볼펜 증정) (3개월분),23900
