date,code,rank,brand,product,price,like
20260323,12052068,73,종근당,"""직장인 30일 습관"" 이뮨듀오 올인원 비타민 멀티팩 1박스/ 밀크씨슬+테아닌+멀티비타민 미네랄 간 건강 피로개선 피로회복",35600,3073
20260323,3948199,74,센트룸,[센트룸] 멀티비타민 2종 선택 (맨/우먼/칼슘/비타민B 옵션),48000,4442
20260323,11090567,75,옵티젠,"""한국인 맞춤 비타민"" 옵티젠 이뮨 멀티비타민&미네랄 30입 / 1박스",74900,1663
20260323,682864,76,종근당건강,"[카쇼라 증정 이벤트] ""온가족 유산균 선물"" 락토핏 골드 3통(150일분) + 락토핏 코어 1개월분 증정",40900,2413
20260323,10656153,77,닥터브라이언,"""복숭아 비타민 젤리"" 맛있는 복숭아 비타민C&D 구미 기획전 (멀티비타민,비오틴,비타민D 등)",15900,10000
20260323,6968827,78,GNM자연의품격,GNM 올인원 이뮨 액상 종합비타민 1박스 (총 7병) / 이뮨샷 멀티비타민 이뮨비타민 부모님 수험생 선물,19900,10000
20260323,11839566,79,푸드올로지,"[단독/콜라겐 7포 증정] ""EU인증"" 지중해 프리미엄 올리브 오일 캡슐 기획 세트(60캡슐/30일분)",30900,6936
20260323,326194,80,고려은단,"""1등 비타민C"" 고려은단 비타민C 1000 120정 (4개월분)",14000,3504
20260323,2925688,81,GNM자연의품격,"""한팩에 멀티 종합비타민+밀크씨슬+오메가3+루테인+코큐텐"" GNM 올인원솔루션멀티팩 1박스 / 부모님 직장인 수험생 선물",41900,7184
20260323,1358556,82,정관장,"""면역선물"" [정관장] 에브리타임 소프트 (10ml x 30포) _ 대한민국 명품 홍삼",80500,2009
20260323,758604,83,잼/청/꿀,"""하루한포 건강선물"" 100% 국내산 1+등급 프리미엄 천연꿀 데일리허니 꿀 스틱 30포 (선물포장)",21900,20000
20260323,5840476,84,홀랜드앤바렛,영국 프리미엄 영양제 2종 세트 (선물포장),27500,4827
20260323,6352718,85,삼대오백,[헬스/운동] 삼대오백 모노 크레아틴 100서빙 부스터 아르기닌 카페인,17900,4256
20260323,9294211,86,옵티젠,"""간건강+스트레스 피로개선"" 옵티젠 바이탈 밀크씨슬 & 비타민(B,C,D,E) 10입 x 2박스 (+GIFT패키지)",50000,2729
20260323,10125720,87,고려은단,"""명품 원료"" 고려은단 메가도스 이뮨샷 10개입 X 3개 (30개입) / 멀티비타민 아미노산 아르기닌",52900,2053
20260323,10848340,88,한끼통살,[한끼통살] 닭가슴살 순삭 10팩세트(소스통살5+닭가슴살볼5),17900,4624
20260323,1060257,89,종근당,"""칼마디 뼈건강 선물"" 종근당 칼슘 마그네슘 비타민D 아연 180정 1박스(3개월분)",14900,9418
20260323,9780954,90,오니스트,"""만족도100%"" [건강/부모님선물/생일추천] 오니스트 스페셜 기프트 에디션 / 트리플콜라겐 & 트리플샤인 중 택 1",36900,8591
20260323,12492740,91,경남제약,"[쇼핑백 증정] ""하루 한 포, 비타민C"" 레모나산 70일분 - 카카오프렌즈",15900,461
20260323,607417,92,GNM자연의품격,"""간건강 챙기세요!"" GNM 건강한 간 밀크씨슬 2박스(총 2개월분) / 간건강 실리마린 비타민B 판토텐산",13900,4587
20260323,10612710,93,셀렉스,"""건강한달콤"" 프로핏 맛있는 완전단백질 250ml 18팩 딸기초코/모카초콜릿/밀크바닐라/바나나",27900,3414
20260323,9915284,94,플라이밀,"""급찐급빠"" 플라이밀 단백질쉐이크파우치 스타터팩 6가지맛 총6포 + 쇼핑백증정",18900,10000
20260323,13180343,95,그레인온,[그레인온] 골드 카무트 브랜드밀 효소 선물세트(3개월분),42900,47
20260323,5443772,96,GNM자연의품격,"""+본품4병 증정"" GNM 올인원 이뮨 액상 종합비타민 3박스 (총 21+4병) / 멀티비타민 이뮨비타민 부모님 직장인 선물",50000,10000
